%
Copyright (C) 1991-2008 Altera Corporation
Your use of Altera Corporation's design tools, logic functions 
and other software and tools, and its AMPP partner logic 
functions, and any output files from any of the foregoing 
(including device programming or simulation files), and any 
associated documentation or information are expressly subject 
to the terms and conditions of the Altera Program License 
Subscription Agreement, Altera MegaCore Function License 
Agreement, or other applicable license agreement, including, 
without limitation, that your use is for the sole purpose of 
programming logic devices manufactured by Altera and sold by 
Altera or its authorized distributors.  Please refer to the 
applicable agreement for further details.
%

GROUP CREATE A = A[31] A[30] A[29] A[28] A[27] A[26] A[25] A[24] A[23] A[22] A[21] A[20] A[19] A[18] A[17] A[16] A[15] A[14] A[13] A[12] A[11] A[10] A[9] A[8] A[7] A[6] A[5] A[4] A[3] A[2] A[1] A[0] ;
GROUP CREATE B = B[31] B[30] B[29] B[28] B[27] B[26] B[25] B[24] B[23] B[22] B[21] B[20] B[19] B[18] B[17] B[16] B[15] B[14] B[13] B[12] B[11] B[10] B[9] B[8] B[7] B[6] B[5] B[4] B[3] B[2] B[1] B[0] ;
GROUP CREATE S = S[32] S[31] S[30] S[29] S[28] S[27] S[26] S[25] S[24] S[23] S[22] S[21] S[20] S[19] S[18] S[17] S[16] S[15] S[14] S[13] S[12] S[11] S[10] S[9] S[8] S[7] S[6] S[5] S[4] S[3] S[2] S[1] S[0] ;
INPUTS A B Cin;
OUTPUTS S;
UNIT ns;
RADIX HEX;
PATTERN
224.719> FFFFFFFF 00000001 0 = 080002000 
224.733> FFFFFFFF 00000001 0 = 080202000 
224.786> FFFFFFFF 00000001 0 = 080200000 
224.861> FFFFFFFF 00000001 0 = 080000000 
224.996> FFFFFFFF 00000001 0 = 080000400 
225.096> FFFFFFFF 00000001 0 = 000000400 
225.364> FFFFFFFF 00000001 0 = 100000400 
225.423> FFFFFFFF 00000001 0 = 100000000 
225.498> FFFFFFFF 00000001 0 = 108000000 
225.538> FFFFFFFF 00000001 0 = 108000400 
225.599> FFFFFFFF 00000001 0 = 108010400 
225.659> FFFFFFFF 00000001 0 = 108010000 
 225.83> FFFFFFFF 00000001 0 = 128010000 
225.909> FFFFFFFF 00000001 0 = 120010000 
225.964> FFFFFFFF 00000001 0 = 120030000 
 225.97> FFFFFFFF 00000001 0 = 120430000 
226.098> FFFFFFFF 00000001 0 = 120030000 
226.176> FFFFFFFF 00000001 0 = 130030000 
226.241> FFFFFFFF 00000001 0 = 110030000 
 226.47> FFFFFFFF 00000001 0 = 110830000 
226.488> FFFFFFFF 00000001 0 = 150830000 
226.587> FFFFFFFF 00000001 0 = 140830000 
226.598> FFFFFFFF 00000001 0 = 140030000 
226.732> FFFFFFFF 00000001 0 = 1C0030000 
  227.0> FFFFFFFF 00000001 0 = 0C0030000 
227.101> FFFFFFFF 00000001 0 = 0C2030000 
227.133> FFFFFFFF 00000001 0 = 082030000 
227.143> FFFFFFFF 00000001 0 = 002030000 
227.229> FFFFFFFF 00000001 0 = 000030000 
227.398> FFFFFFFF 00000001 0 = 001030000 
227.411> FFFFFFFF 00000001 0 = 101030000 
227.526> FFFFFFFF 00000001 0 = 100030000 
227.781> FFFFFFFF 00000001 0 = 100020000 
228.146> FFFFFFFF 00000001 0 = 100000000 
  228.7> FFFFFFFF 00000001 0 = 104000000 
228.769> FFFFFFFF 00000001 0 = 144000000 
228.808> FFFFFFFF 00000001 0 = 144001000 
228.828> FFFFFFFF 00000001 0 = 140001000 
228.867> FFFFFFFF 00000001 0 = 140001800 
 229.18> FFFFFFFF 00000001 0 = 100001800 
229.235> FFFFFFFF 00000001 0 = 100000800 
229.294> FFFFFFFF 00000001 0 = 100000000 
 229.35> FFFFFFFF 00000001 0 = 100001000 
229.409> FFFFFFFF 00000001 0 = 100001800 
229.471> FFFFFFFF 00000001 0 = 100000800 
 229.53> FFFFFFFF 00000001 0 = 100000000 
229.539> FFFFFFFF 00000001 0 = 100040000 
229.834> FFFFFFFF 00000001 0 = 1000C0000 
230.403> FFFFFFFF 00000001 0 = 1000C4000 
230.462> FFFFFFFF 00000001 0 = 1001C4000 
230.601> FFFFFFFF 00000001 0 = 1001CC000 
 230.83> FFFFFFFF 00000001 0 = 1001C8000 
230.945> FFFFFFFF 00000001 0 = 1001CC000 
231.028> FFFFFFFF 00000001 0 = 1001C4000 
231.066> FFFFFFFF 00000001 0 = 1001C0000 
231.143> FFFFFFFF 00000001 0 = 1001C8000 
231.264> FFFFFFFF 00000001 0 = 1001C0000 
231.721> FFFFFFFF 00000001 0 = 100180000 
 231.79> FFFFFFFF 00000001 0 = 100182000 
232.016> FFFFFFFF 00000001 0 = 100102000 
232.217> FFFFFFFF 00000001 0 = 100100000 
232.332> FFFFFFFF 00000001 0 = 100102000 
232.453> FFFFFFFF 00000001 0 = 100100000 
232.644> FFFFFFFF 00000001 0 = 100000000 
232.791> FFFFFFFF 00000001 0 = 100200000 
233.807> FFFFFFFF 00000001 0 = 108200000 
233.935> FFFFFFFF 00000001 0 = 100200000 
234.028> FFFFFFFF 00000001 0 = 100600000 
234.139> FFFFFFFF 00000001 0 = 120600000 
234.267> FFFFFFFF 00000001 0 = 100600000 
234.485> FFFFFFFF 00000001 0 = 110600000 
234.528> FFFFFFFF 00000001 0 = 110E00000 
234.613> FFFFFFFF 00000001 0 = 100E00000 
234.785> FFFFFFFF 00000001 0 = 100E10000 
234.973> FFFFFFFF 00000001 0 = 100C10000 
235.041> FFFFFFFF 00000001 0 = 180C10000 
 235.15> FFFFFFFF 00000001 0 = 180C30000 
235.159> FFFFFFFF 00000001 0 = 182C30000 
235.169> FFFFFFFF 00000001 0 = 102C30000 
235.212> FFFFFFFF 00000001 0 = 102C20000 
235.309> FFFFFFFF 00000001 0 = 002C20000 
235.327> FFFFFFFF 00000001 0 = 002C30000 
235.437> FFFFFFFF 00000001 0 = 102C30000 
235.448> FFFFFFFF 00000001 0 = 102C20000 
235.456> FFFFFFFF 00000001 0 = 103C20000 
235.577> FFFFFFFF 00000001 0 = 103C00000 
235.692> FFFFFFFF 00000001 0 = 103C20000 
235.813> FFFFFFFF 00000001 0 = 103C00000 
 236.21> FFFFFFFF 00000001 0 = 103800000 
 236.71> FFFFFFFF 00000001 0 = 103000000 
236.758> FFFFFFFF 00000001 0 = 107000000 
237.078> FFFFFFFF 00000001 0 = 147000000 
237.206> FFFFFFFF 00000001 0 = 107000000 
237.341> FFFFFFFF 00000001 0 = 105000000 
237.638> FFFFFFFF 00000001 0 = 104000000 
238.725> FFFFFFFF 00000001 0 = 104040000 
 238.94> FFFFFFFF 00000001 0 = 100040000 
 239.02> FFFFFFFF 00000001 0 = 1000C0000 
239.152> FFFFFFFF 00000001 0 = 100080000 
239.267> FFFFFFFF 00000001 0 = 1000C0000 
239.388> FFFFFFFF 00000001 0 = 100080000 
239.447> FFFFFFFF 00000001 0 = 100000000 
