%
Copyright (C) 1991-2008 Altera Corporation
Your use of Altera Corporation's design tools, logic functions 
and other software and tools, and its AMPP partner logic 
functions, and any output files from any of the foregoing 
(including device programming or simulation files), and any 
associated documentation or information are expressly subject 
to the terms and conditions of the Altera Program License 
Subscription Agreement, Altera MegaCore Function License 
Agreement, or other applicable license agreement, including, 
without limitation, that your use is for the sole purpose of 
programming logic devices manufactured by Altera and sold by 
Altera or its authorized distributors.  Please refer to the 
applicable agreement for further details.
%

GROUP CREATE A = A[31] A[30] A[29] A[28] A[27] A[26] A[25] A[24] A[23] A[22] A[21] A[20] A[19] A[18] A[17] A[16] A[15] A[14] A[13] A[12] A[11] A[10] A[9] A[8] A[7] A[6] A[5] A[4] A[3] A[2] A[1] A[0] ;
GROUP CREATE B = B[31] B[30] B[29] B[28] B[27] B[26] B[25] B[24] B[23] B[22] B[21] B[20] B[19] B[18] B[17] B[16] B[15] B[14] B[13] B[12] B[11] B[10] B[9] B[8] B[7] B[6] B[5] B[4] B[3] B[2] B[1] B[0] ;
GROUP CREATE S = S[32] S[31] S[30] S[29] S[28] S[27] S[26] S[25] S[24] S[23] S[22] S[21] S[20] S[19] S[18] S[17] S[16] S[15] S[14] S[13] S[12] S[11] S[10] S[9] S[8] S[7] S[6] S[5] S[4] S[3] S[2] S[1] S[0] ;
INPUTS A B Cin;
OUTPUTS S;
UNIT ns;
RADIX HEX;
PATTERN
217.477> FFFFFFFF 00000001 0 = 1C831C100 
217.577> FFFFFFFF 00000001 0 = 1C031C100 
217.593> FFFFFFFF 00000001 0 = 1E031C100 
 217.63> FFFFFFFF 00000001 0 = 1E431C100 
217.713> FFFFFFFF 00000001 0 = 1E433C100 
 217.72> FFFFFFFF 00000001 0 = 1E433E100 
 217.73> FFFFFFFF 00000001 0 = 1EC33E100 
217.736> FFFFFFFF 00000001 0 = 1EC3BE100 
217.745> FFFFFFFF 00000001 0 = 1EC3FE100 
217.822> FFFFFFFF 00000001 0 = 1EC1FE100 
217.881> FFFFFFFF 00000001 0 = 1CC1FE100 
217.918> FFFFFFFF 00000001 0 = 1C81FE100 
217.923> FFFFFFFF 00000001 0 = 1C81FA100 
 217.97> FFFFFFFF 00000001 0 = 1C81FA000 
218.018> FFFFFFFF 00000001 0 = 1C01FA000 
218.023> FFFFFFFF 00000001 0 = 1C01F2000 
218.117> FFFFFFFF 00000001 0 = 1801F2000 
218.169> FFFFFFFF 00000001 0 = 1801F0000 
218.365> FFFFFFFF 00000001 0 = 1801F0100 
218.497> FFFFFFFF 00000001 0 = 1809F0100 
218.578> FFFFFFFF 00000001 0 = 1809E0100 
218.686> FFFFFFFF 00000001 0 = 1801E0100 
218.814> FFFFFFFF 00000001 0 = 1801E0000 
219.016> FFFFFFFF 00000001 0 = 1800E0000 
219.356> FFFFFFFF 00000001 0 = 1000E0000 
219.592> FFFFFFFF 00000001 0 = 1004E0000 
219.639> FFFFFFFF 00000001 0 = 1404E0000 
219.647> FFFFFFFF 00000001 0 = 1504E0000 
219.678> FFFFFFFF 00000001 0 = 1504C0000 
219.689> FFFFFFFF 00000001 0 = 1524C0000 
219.701> FFFFFFFF 00000001 0 = 152440000 
 219.71> FFFFFFFF 00000001 0 = 152400000 
219.909> FFFFFFFF 00000001 0 = 152000000 
219.949> FFFFFFFF 00000001 0 = 152200000 
 220.15> FFFFFFFF 00000001 0 = 152208000 
220.166> FFFFFFFF 00000001 0 = 153208000 
220.214> FFFFFFFF 00000001 0 = 153200000 
220.236> FFFFFFFF 00000001 0 = 113200000 
220.244> FFFFFFFF 00000001 0 = 103200000 
220.266> FFFFFFFF 00000001 0 = 103000000 
220.272> FFFFFFFF 00000001 0 = 003000000 
220.286> FFFFFFFF 00000001 0 = 001000000 
220.354> FFFFFFFF 00000001 0 = 000000000 
220.389> FFFFFFFF 00000001 0 = 040000000 
220.397> FFFFFFFF 00000001 0 = 050000000 
220.439> FFFFFFFF 00000001 0 = 052000000 
 220.46> FFFFFFFF 00000001 0 = 152000000 
220.677> FFFFFFFF 00000001 0 = 112000000 
220.685> FFFFFFFF 00000001 0 = 102000000 
220.705> FFFFFFFF 00000001 0 = 102010000 
220.727> FFFFFFFF 00000001 0 = 100010000 
220.769> FFFFFFFF 00000001 0 = 120010000 
220.806> FFFFFFFF 00000001 0 = 124010000 
220.813> FFFFFFFF 00000001 0 = 124810000 
220.906> FFFFFFFF 00000001 0 = 12C810000 
220.957> FFFFFFFF 00000001 0 = 10C810000 
220.994> FFFFFFFF 00000001 0 = 108810000 
221.022> FFFFFFFF 00000001 0 = 108800000 
221.094> FFFFFFFF 00000001 0 = 100800000 
 221.13> FFFFFFFF 00000001 0 = 100000000 
221.143> FFFFFFFF 00000001 0 = 100100000 
 221.46> FFFFFFFF 00000001 0 = 100000000 
221.805> FFFFFFFF 00000001 0 = 100020000 
221.828> FFFFFFFF 00000001 0 = 1000A0000 
221.837> FFFFFFFF 00000001 0 = 1000E0000 
222.122> FFFFFFFF 00000001 0 = 1000C0000 
222.145> FFFFFFFF 00000001 0 = 100040000 
222.154> FFFFFFFF 00000001 0 = 100000000 
222.244> FFFFFFFF 00000001 0 = 180000000 
222.432> FFFFFFFF 00000001 0 = 100000000 
222.481> FFFFFFFF 00000001 0 = 101000000 
222.587> FFFFFFFF 00000001 0 = 001000000 
222.798> FFFFFFFF 00000001 0 = 000000000 
222.904> FFFFFFFF 00000001 0 = 100000000 
223.084> FFFFFFFF 00000001 0 = 120000000 
223.121> FFFFFFFF 00000001 0 = 124000000 
223.221> FFFFFFFF 00000001 0 = 12C000000 
223.401> FFFFFFFF 00000001 0 = 10C000000 
223.438> FFFFFFFF 00000001 0 = 108000000 
223.538> FFFFFFFF 00000001 0 = 100000000 
